source_id,Institution (bolded name),Webpage,(2nd line),(3rd line),Address Line 1 (Street or Box Number),Address Line 2 (Room/Suite),City,State,Zip Code,Phone,Best email contact,Summary Description of Map Collection,Questions / Notes / Comments,Region ID,Regional Coordinator,Status,Date of last update,Addtional Note
10,"University of Alaska, Anchorage",www.lib.uaa.alaska.edu,UAA/APU Consortium Library,,3211 Providence Drive,,Anchorage,AK,99508,907-786-1871,rterry9@alaska.edu,,,10,Melinda Sandkam,2nd attempt,1/26/21,
12,Alaska Division of Geological and Geophysical Surveys,https://dggs.alaska.gov/,,,3354 College Road,,Fairbanks,AK,99709-3707,907-451-5000,dggspubs@alaska.gov,"All maps seem to be scanned, also has interactive maps, geophyscial maps, and a geoportal",,10,Melinda Sandkam,2nd attempt,1/26/21,
13,"University of Alaska, Fairbanks",https://library.uaf.edu/govdocs  ,Elmer R. Rasmuson Library,Documents and Maps Collections,1732 Tanana Dr.,P.O. Box 756800,Fairbanks,AK,99775-6800,907-474-7428,twilliams@anchoragemuseum.org,"The map and atlas collection is worldwide in scope with an emphasis on Alaska, northern Canada, Scandinavia, and far eastern Russia. Of particular note are the current and historical topographical maps and nautical charts for Alaska, and the topographic maps of adjacent Canadian areas.",,10,Melinda Sandkam,completed by institution,10/27/20,
14,Alaska State Library,www.library.state.ak.us/hist/hist.html,Historical Collections,,395 Whittier Street,,Juneau,AK,99801,907-465-2925,freya.anderson@alaska.gov,"The map collection consists of atlases, Alaska-related historical maps such as Sanborn maps, older nautical charts, and state election districts. Current U. S. Geological Survey topographical maps of Alaska are located in Information Services.",,10,Melinda Sandkam,completed by institution,10/27/20,
1,Auburn University,http://libguides.auburn.edu/maps,Auburn University Library,Map Collection,231 Mell Street,,Auburn University,AL,36849,334-844-1759,mixonch@auburn.edu,"The map collection houses more than 185,000 maps covering all areas of the world. It is divided into the Government Documents map collection and the Library of Congress map collection. Many of the maps are included in our library catalog.",updated best email contact,4,"Sierra Laddusaw, Valerie Glenn",2nd attempt,5/10/2021,
2,Birmingham Public Library,http://www.bplonline.org/resources/maps/,Linn-Henley Research Library,Cartography Collection,2100 Park Place,,Birmingham,AL,35203-2794,205-226-3630,bpldirector@cobpl.org,"The library has an extensive collection of sixteenth through twentieth century maps and atlases. The corpus of the collection is the result of generous gifts from four benefactors: Rucker Agee, Joseph H. Woodward II, John C. Henley III, and Dr. Charles W. Ochs.",contacted the general Ask a Librarian email for 2nd attempt,4,"Sierra Laddusaw, Valerie Glenn",completed by institution,10/10/2021,
3,Samford University,https://library.samford.edu/special/maps-collection.html,Library,Map Collection,800 Lakeshore Drive,,Birmingham,AL,35229,205-726-2749,scdept@samford.edu,"The map collection includes over 3,000 maps. An annotated bibliography of the collection is available in the department.",Part of Special Collections,4,"Sierra Laddusaw, Valerie Glenn",2nd attempt,5/10/2021,
4,University of South Alabama,http://libguides.southalabama.edu/govmaps,Library,Gov Docs: Map/GIS Collection,5901 USA Dr. N.,,Mobile,AL,36688,251-460-7024,vtate@southalabama.edu,"The primary focus of our map collection is the state of Alabama, the states along its borders, and the Gulf Coast. Also included in our collection are world maps, national forest maps, posters, atlases and GIS software.",,4,Sierra Laddusaw,completed by institution,4/19/2021,
5,Alabama Department of Archives and History,https://archives.alabama.gov/searchcoll.html,Research,,624 Washington Avenue,P.O. Box 300100,Montgomery,AL,36130,334-242-4363,keri.hallford@archives.alabama.gov,Link goes to the catalog,,4,"Sierra Laddusaw, Valerie Glenn",2nd attempt,10/5/2021,
6,Geologic Survey of Alabama,www.gsa.state.al.us,Library,,420 Hackberry Lane,P.O. Box 869999,Tuscaloosa,AL,35486-6999,205-247-3634,library@ogb.state.al.us,"There are maps for sale through the Pubications Dept., also have digital copies of maps, some scans are available at the University of Alabama Map Collection, and they have GIS data. ","If there are no longer any print maps, do we want to keep this entry? ",4,Sierra Laddusaw,completed by institution,4/19/2021,
8,University of Alabama,www.maplibrary.ua.edu,Map Library,,513 University Blvd.,P.O. Box 870322,Tuscaloosa,AL,35401,205-348-6028,MapLibrary@ua.edu,"The Map Library is a Regional Depository for the United States Geological Survey and Bureau of Land Management, and includes over 1,700 monographs, 270,000 maps and75,000 aerial photographs. The Map Library also holds an extensive collection of ancient maps as well as materials related to toponymics. The materials are for in-house use only.",,4,Sierra Laddusaw,completed by institution,4/19/2021,
7,University of Alabama,www.lib.ua.edu/libraries/hoole,W.S. Hoole Special Collection Library,,500 Hackberry Lane ,Box 870266,Tuscaloosa,AL,35487-0266,205-348-0500,archives@bama.ua.edu,"The W. S. Hoole Library’s maps cover Alabama and the Southeast from the 16th century through the early 21st century, many of which have been digitized and can be found online at Alabama Maps. An important subset of this group, The Warner Map Collection, contains over sixty very fine examples of 16th, 17th and 18th century cartography. ",,4,"Sierra Laddusaw, valerie Glenn",2nd attempt,10/5/2021,
39,"University of Arkansas, Little Rock",https://ualr.edu/library/,Ottenhimer Library,Archives and Special Collections,2801 South University Avenue,,Little Rock,AR,72204,501-569-3123,https://ualr.edu/library/services/request-services/,USGS Arkansas topographic maps ,"Emailed Maureen James, Collections Management Coordinator
mejames@ualr.edu",6,Cheyenne Stradinger,2nd attempt,12/2/20,
40,Arkansas Tech University,www.library.atu.edu,Pendergraft Library and Technology Center,,305 West Q Street,,Russellville,AR,72801,"479- 964-0569   
                               ",http://libguides.atu.edu/research/help/askus,,Emailed Charity Park Digital and Special Collections Librarian cpark@atu.edu,6,Cheyenne Stradinger,2nd attempt,12/2/20,
34,University of Central Arkansas,https://uca.edu/archives/map-collection-2/,Torreyson Library,Archives Map Collection,201 Donaghey,,Conway,AR,72035,501-450-3418,hreinold@uca.edu,Website includes inventory of maps,,6,Sierra Laddusaw,completed by institution,12/3/20,
38,Central Arkansas Library System,https://cals.org/cals-main-library/,Main Library,Reference Services,100 Rock Street,,Little Rock,AR,72201,501-918-3000,"Brian Robertson brianr@cals.org
Manager, Research Services Division
Butler Center for Arkansas Studies
Central Arkansas Library System","All atlases, ~600, could not find any sheet maps, although the 2006 edition says they have 800 print maps",,6,Cheyenne Stradinger,completed by institution,,
35,University of Arkansas,https://uark.libguides.com/maps,University Libraries,Government Documents/Map Collection,365 N. McIlroy Ave.,,Fayetteville,AR,72701,479-575-8517,donnad@uark.edu,"Includes topographic, geologic, aeronautical and nautical, world maps and some aerial photography","Also includes a separate GIS guide, mainly with links to sources of geospatial data. Special Collections has a separate collection of Arkansas and historical maps separately. Include a separate entry??",6,Sierra Laddusaw,completed by RC,2/24/21,
,University of Arkansas ,https://libraries.uark.edu/specialcollections/about/overview.asp,Special Collections ,,365 N. McIlroy Ave.,,Fayetteville,AR,72701,479-575-5577,specoll@uark.edu,Special Collections includes over ten thousand printed maps of Arkansas covering every period from before statehood to the present day. ,,6,Sierra Laddusaw,completed by RC,2/24/21,
36,Arkansas Geological Commission,www.state.ar.us/agc/agc.htm,Geological Library,,3815 West Roosevelt Road,,Little Rock,AR,72204,501-663-7360,ags@arkansas.gov,Mainly maps to download or for sale in print ,,6,Sierra Laddusaw,completed by RC,2/24/21,
37,Arkansas State Library,www.asl.lib.ar.us,Federal Depository,,900 W. Capitol,Suite 100,Little Rock,AR,72201,501-682-2869,wendy.briley@arkansas.gov,,,6,Cheyenne Stradinger,completed by RC,2/24/21,
16,Flagstaff City-Coconino County Public Library,www.flagstaffpubliclibrary.org,Main Library,Reference Services ,300 West Aspen Avenue,,Flagstaff,AZ,86001,928-213-2331,https://www.flagstaffpubliclibrary.org/about/contactform.html,,,9,Chris K,completed by institution,,Received name to send survey to
18,Northern Arizona University,http://library.nau.edu/speccoll/exhibits/sca/collect/maps/,Cline Library,Special Collections and Archives Department,1001 S. Knoles Drive,,Flagstaff,AZ,86001,928-523-5551,https://nau.edu/special-collections/contact-form/,,,9,Chris K,completed by institution,,
19,Mohave Museum of History and Art,www.mohavemuseum.org,,,400 West Beale Street,,Kingman,AZ,86401,928-753-3195,library@mohavemuseum.org,,,9,Chris K,completed by institution,,Has sent some of their maps to Mohave County - sent contact; will fill out survey 
20,Mesa Pubic Library ,www.mesalibrary.org,,,64 East First Street,,Mesa,AZ,85201,480-644-3100,library.info@mesaaz.gov,,,9,Chris K,completed by RC,,
23,Maricopa County Assessor's Office,maps.mcassessor.maricopa.gov/,Parcel Maps,,301 West Jefferson Street,,Phoenix,AZ,85003,602-506-3406, mapping@mail.maricopa.gov,"Only online, no print maps ","Do we need to keep this, only online",9,Chris K,1st attempt,,
22,"Arizona State Library, Archives and Public Records",https://azlibrary.gov/maps,Research Library,Maps,1901 W Madison St,,Phoenix,AZ,85009,602-926-3720,http://azsos.libanswers.com/form.php?queue_id=2130,Includes Arizona maps from 1880-current and federal repository maps,,9,Chris K,completed by RC,,
25,Sharlot Hall Museum,https://oldhtmlarchive.sharlothallmuseum.org/maps/index.html,Archives,Maps,415 West Gurley Street,,Prescott,AZ,86301,928-445-3122,"Brenda Taylor, Head Librarian-Archivist brenda.taylor@sharlothallmuseum.org",,,9,Chris K,completed by institution,,
26,Yavapai College,www.yc.edu/library.net,Library,,1100 East Sheldon Street,,Prescott,AZ,86301,928-776-2261,library@yc.edu,,,9,Chris K,completed by RC,,
30,University of Arizona ,https://statemuseum.arizona.edu/visit/collections/library-and-archives,Arizona State Museum ,Library and Archives ,1013 E. University Boulevard,,Tucson,AZ,85701-0026,520-621-4695,larc@email.arizona.edu,,,9,Chris K,completed by institution,,
31,Tucson-Pima Public Library,https://www.library.pima.gov/content/maps-historic/,Joel D. Valdez Main Library,,101 North Stone Avenue,,Tucson,AZ,85701,520-791-4010,https://www.library.pima.gov/contact-us/,Pima County Public Library’s historic map holdings are limited. See catalog search for Arizona maps.opens a new window,,9,Chris K,completed by RC,,Response with name to send survey to
31,Arizona Western College,http://libguides.azwestern.edu/gov_info,Academic Library,Government Information,"2020 S Ave 8 E,",P.O. Box 929,Yuma,AZ,85366,928-334-7751,library@azwestern.edu,"Many print topographical & other maps are available in our map cases. The ""Map Finding Tool"" located nearby provides an index to the topo. maps. Additional print maps are located in the Government Documents stacks in 
the ""PREX"" area.  A librarian can help you find these items. Atlases are available in our atlas cases, reference and stacks areas.  These are listed in our library catalog.",,9,Chris K,1st attempt,,"Sent another email to library@azwestern.edu instead of the ""contact us"" form"
